Date,User,Message
2020-01-05 01:13:09,"임연지","그제"
2020-01-05 01:13:10,"임연지","ㅋㅋㅋㅋㅋㅋ"
2020-01-05 01:13:21,"임연지","저러기 시작할때 관뒀어"
2020-01-05 01:13:22,"임연지","ㅋㅋㅋㅋ"
2020-01-05 01:13:38,"임연지","모마.. 진짜 재밌긴했는데ㅠ"
2020-01-05 01:14:30,"❤❤빵꿍❤❤","잘혓다"
2020-01-05 01:14:31,"❤❤빵꿍❤❤","ㅋㅋㅋ"
2020-01-05 01:14:37,"임연지","ㅋㅋㅋ"
2020-01-05 01:14:56,"임연지","사과친구"
2020-01-05 01:15:03,"임연지","업뎃끝내서"
2020-01-05 01:15:10,"임연지","지금 잘라고 누웠더"
2020-01-05 01:15:14,"임연지","빵댕이는?"
2020-01-05 01:17:20,"❤❤빵꿍❤❤","지곰 완전 중요한부분"
2020-01-05 01:17:29,"임연지","고러고먼"
2020-01-05 01:17:30,"임연지","ㅋㅋㅋㅋ"
2020-01-05 01:17:30,"❤❤빵꿍❤❤","주인공의 비밀"
2020-01-05 01:17:34,"❤❤빵꿍❤❤","호여ㅕㅇ"
2020-01-05 01:17:36,"임연지","흥미진진쓰"
2020-01-05 01:17:39,"임연지","ㅋㅋㅋ"
2020-01-05 01:17:45,"임연지","이고봐라"
2020-01-05 01:17:49,"임연지","사진"
2020-01-05 01:17:52,"❤❤빵꿍❤❤","게임 잘만들엇넹"
2020-01-05 01:17:57,"❤❤빵꿍❤❤","호야"
2020-01-05 01:17:58,"임연지","사과에 불들어오는거"
2020-01-05 01:18:00,"임연지","이용한"
2020-01-05 01:18:01,"임연지","스티커"
2020-01-05 01:18:04,"임연지","간지쩔지"
2020-01-05 01:18:04,"❤❤빵꿍❤❤","살라구?"
2020-01-05 01:18:10,"임연지","아닝 걍봤더"
2020-01-05 01:18:13,"❤❤빵꿍❤❤","그러곰"
2020-01-05 01:18:17,"임연지","웅 멋지제"
2020-01-05 01:18:19,"❤❤빵꿍❤❤","우요"
2020-01-05 01:18:22,"임연지","사진"
2020-01-05 01:18:26,"임연지","귀여운것도있어"
2020-01-05 01:18:27,"임연지","ㅋㅋㅋ"
2020-01-05 01:18:30,"❤❤빵꿍❤❤","살라고?"
2020-01-05 01:18:38,"임연지","아닝 걍봤덩"
2020-01-05 01:18:45,"❤❤빵꿍❤❤","웅우요"
2020-01-05 01:18:50,"임연지","그럼"
2020-01-05 01:18:51,"임연지","이만"
2020-01-05 01:18:54,"❤❤빵꿍❤❤","20000"
2020-01-05 01:18:56,"임연지","이모티콘"
2020-01-05 01:19:03,"❤❤빵꿍❤❤","이모티콘"
2020-01-05 01:22:22,"임연지","사진"
